	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(83, value)	{[operation -> equal_op value., ;]}	127	{[operation -> equal_op value., ;]}
goto(83, item)	{[value -> item.value', ;]}	126	 
goto(83, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(83, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(83, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(83, const)	{[factor -> const., *///%/$]}	56	 
goto(83, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(83, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(83, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(83, STR)	{[const -> STR., *///%/$]}	60	 
goto(83, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(83, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(83, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(98, item)	{[value' -> + item.value', $/>/>=/	128	{[value' -> + item.value', $/>/>=/ .+ item value', $/>/>=/ .- item value', $/>/>=/ .$, $/>/>=/
goto(98, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(98, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(98, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(98, const)	{[factor -> const., *///%/$]}	56	 
goto(98, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(98, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(98, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(98, STR)	{[const -> STR., *///%/$]}	60	 
goto(98, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(98, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(98, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(99, item)	{[value' -> - item.value', $/>/>=/	129	{[value' -> - item.value', $/>/>=/ .+ item value', $/>/>=/ .- item value', $/>/>=/ .$, $/>/>=/
goto(99, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(99, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(99, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(99, const)	{[factor -> const., *///%/$]}	56	 
goto(99, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(99, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(99, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(99, STR)	{[const -> STR., *///%/$]}	60	 
goto(99, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(99, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(99, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(102, factor)	{[item' -> * factor.item', +/-/$]}	130	{[item' -> * factor.item', +/-/$]; [item' -> .* factor item', +/-/$]; [item' -> ./ factor item', +/-/$]; [item' -> .% factor item', +/-/$]; [item' -> .$, +/-/$]}
goto(102, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(102, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(102, const)	{[factor -> const., *///%/$]}	56	 
goto(102, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(102, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(102, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(102, STR)	{[const -> STR., *///%/$]}	60	 
goto(102, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(102, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(102, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(103, factor)	{[item' -> / factor.item', +/-/$]}	131	{[item' -> / factor.item', +/-/$]; [item' -> .* factor item', +/-/$]; [item' -> ./ factor item', +/-/$]; [item' -> .% factor item', +/-/$]; [item' -> .$, +/-/$]}
goto(103, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(103, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(103, const)	{[factor -> const., *///%/$]}	56	 
goto(103, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(103, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(103, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(103, STR)	{[const -> STR., *///%/$]}	60	 
goto(103, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(103, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(103, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(104, factor)	{[item' -> % factor.item', +/-/$]}	132	{[item' -> % factor.item', +/-/$]; [item' -> .* factor item', +/-/$]; [item' -> ./ factor item', +/-/$]; [item' -> .% factor item', +/-/$]; [item' -> .$, +/-/$]}
goto(104, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(104, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(104, const)	{[factor -> const., *///%/$]}	56	 
goto(104, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(104, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(104, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(104, STR)	{[const -> STR., *///%/$]}	60	 
goto(104, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(104, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(104, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(106, ))	{[factor -> ( value )., *///%/$]}	133	{[factor -> ( value )., *///%/$]}
goto(107, value')	{[value -> item value'., )]}	134	{[value -> item value'., )]}
goto(107, +)	{[value' -> +.item value', )]}	135	{[value' -> +.item value', )]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(107, -)	{[value' -> -.item value', )]}	136	{[value' -> -.item value', )]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(107, $)	{[value' -> $., )]}	137	{[value' -> $., )]}
goto(109, es)	{[call_function -> ( es.), *///%/$]}	138	{[call_function -> ( es.), *///%/$]}
goto(109, isnull_expr)	{[es -> isnull_expr.isnull_es, )]}	139	{[es -> isnull_expr.isnull_es, )]; [isnull_es -> ., isnull_expr isnull_es, )]; [isnull_es -> .$, )]}
goto(109, expression)	{[isnull_expr -> expression., ,/$]}	140	{[isnull_expr -> expression., ,/$]}
goto(109, $)	{[isnull_expr -> $., ,/$]}	141	{[isnull_expr -> $., ,/$]}
goto(109, value)	{[expression -> value.operation, ,/$]}	142	{[expression -> value.operation, ,/$]; [operation -> .compare_op value, ,/$]; [operation -> .equal_op value, ,/$]; [operation -> .$, ,/$]; [compare_op -> .>, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .>=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .==, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .!=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .+=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .-=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .*=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> ./=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .%=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(109, item)	{[value -> item.value', $/>/>=/	52	 
goto(109, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(109, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(109, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(109, const)	{[factor -> const., *///%/$]}	56	 
goto(109, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(109, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(109, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(109, STR)	{[const -> STR., *///%/$]}	60	 
goto(109, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(109, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(109, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(111, vars)	{[define_stmt -> type id init vars.;, $/int/short/long/char/float/double/void/unsigned]}	143	{[define_stmt -> type id init vars.;, $/int/short/long/char/float/double/void/unsigned]}
goto(111, ,)	{[vars -> ,.id init vars, ;]}	144	{[vars -> ,.id init vars, ;]}
goto(111, $)	{[vars -> $., ;]}	145	{[vars -> $., ;]}
goto(112, expression)	{[init -> = expression., ,/$]}	146	{[init -> = expression., ,/$]}
goto(112, value)	{[expression -> value.operation, ,/$]}	142	 
goto(112, item)	{[value -> item.value', $/>/>=/	52	 
goto(112, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(112, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(112, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(112, const)	{[factor -> const., *///%/$]}	56	 
goto(112, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(112, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(112, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(112, STR)	{[const -> STR., *///%/$]}	60	 
goto(112, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(112, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(112, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(116, ))	{[iteration_stmt -> while ( logical_expression ).block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	147	{[iteration_stmt -> while ( logical_expression ).block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [block_stmt -> .{ stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(117, expression)	{[logical_expression -> ! expression.bool_expression, )]}	148	{[logical_expression -> ! expression.bool_expression, )]; [bool_expression -> .lop expression bool_expression, )]; [bool_expression -> .$, )]; [lop -> .&&, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [lop -> .||, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(117, value)	{[expression -> value.operation, $/&&/||]}	119	 
goto(117, item)	{[value -> item.value', $/>/>=/	52	 
goto(117, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(117, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(117, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(117, const)	{[factor -> const., *///%/$]}	56	 
goto(117, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(117, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(117, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(117, STR)	{[const -> STR., *///%/$]}	60	 
goto(117, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(117, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(117, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(118, bool_expression)	{[logical_expression -> expression bool_expression., )]}	149	{[logical_expression -> expression bool_expression., )]}
goto(118, lop)	{[bool_expression -> lop.expression bool_expression, )]}	150	{[bool_expression -> lop.expression bool_expression, )]; [expression -> .value operation, $/&&/||]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(118, $)	{[bool_expression -> $., )]}	151	{[bool_expression -> $., )]}
goto(118, &&)	{[lop -> &&., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	152	{[lop -> &&., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(118, ||)	{[lop -> ||., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	153	{[lop -> ||., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(119, operation)	{[expression -> value operation., $/&&/||]}	154	{[expression -> value operation., $/&&/||]}
goto(119, compare_op)	{[operation -> compare_op.value, $/&&/||]}	155	{[operation -> compare_op.value, $/&&/||]; [value -> .item value', $/&&/||]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(119, equal_op)	{[operation -> equal_op.value, $/&&/||]}	156	{[operation -> equal_op.value, $/&&/||]; [value -> .item value', $/&&/||]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(119, $)	{[operation -> $., $/&&/||]}	157	{[operation -> $., $/&&/||]}
goto(119, >)	{[compare_op -> >., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	85	 
goto(119, >=)	{[compare_op -> >=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	86	 
goto(119, <)	{[compare_op -> <., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	87	 
goto(119, <=)	{[compare_op -> <=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	88	 
goto(119, ==)	{[compare_op -> ==., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	89	 
goto(119, !=)	{[compare_op -> !=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	90	 
goto(119, =)	{[equal_op -> =., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	91	 
goto(119, +=)	{[equal_op -> +=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	92	 
goto(119, -=)	{[equal_op -> -=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	93	 
goto(119, *=)	{[equal_op -> *=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	94	 
goto(119, /=)	{[equal_op -> /=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	95	 
goto(119, %=)	{[equal_op -> %=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	96	 
goto(120, ;)	{[iteration_stmt -> for ( isnull_expr ;.isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	158	{[iteration_stmt -> for ( isnull_expr ;.isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [isnull_expr -> .expression, ;]; [isnull_expr -> .$, ;]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(121, ()	{[iteration_stmt -> do block_stmt while (.logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	159	{[iteration_stmt -> do block_stmt while (.logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [logical_expression -> .! expression bool_expression, )]; [logical_expression -> .expression bool_expression, )]; [expression -> .value operation, $/&&/||]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(122, })	{[block_stmt -> { stmts }., while]}	160	{[block_stmt -> { stmts }., while]}
goto(123, ))	{[branch_stmt -> if ( logical_expression ).block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	161	{[branch_stmt -> if ( logical_expression ).block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [block_stmt -> .{ stmts }, else/$]}
goto(124, ))	{[branch_stmt -> switch ( id ).{ case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	162	{[branch_stmt -> switch ( id ).{ case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(126, value')	{[value -> item value'., ;]}	163	{[value -> item value'., ;]}
goto(126, +)	{[value' -> +.item value', ;]}	164	{[value' -> +.item value', ;]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(126, -)	{[value' -> -.item value', ;]}	165	{[value' -> -.item value', ;]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(126, $)	{[value' -> $., ;]}	166	{[value' -> $., ;]}
goto(128, value')	{[value' -> + item value'., $/>/>=/}	167	{[value' -> + item value'., $/>/>=/}
goto(128, +)	{[value' -> +.item value', $/>/>=/	98	 
goto(128, -)	{[value' -> -.item value', $/>/>=/	99	 
goto(128, $)	{[value' -> $., $/>/>=/}	100	 
goto(129, value')	{[value' -> - item value'., $/>/>=/}	168	{[value' -> - item value'., $/>/>=/}
goto(129, +)	{[value' -> +.item value', $/>/>=/	98	 
goto(129, -)	{[value' -> -.item value', $/>/>=/	99	 
goto(129, $)	{[value' -> $., $/>/>=/}	100	 
goto(130, item')	{[item' -> * factor item'., +/-/$]}	169	{[item' -> * factor item'., +/-/$]}
goto(130, *)	{[item' -> *.factor item', +/-/$]}	102	 
goto(130, /)	{[item' -> /.factor item', +/-/$]}	103	 
goto(130, %)	{[item' -> %.factor item', +/-/$]}	104	 
goto(130, $)	{[item' -> $., +/-/$]}	105	 
goto(131, item')	{[item' -> / factor item'., +/-/$]}	170	{[item' -> / factor item'., +/-/$]}
goto(131, *)	{[item' -> *.factor item', +/-/$]}	102	 
goto(131, /)	{[item' -> /.factor item', +/-/$]}	103	 
goto(131, %)	{[item' -> %.factor item', +/-/$]}	104	 
goto(131, $)	{[item' -> $., +/-/$]}	105	 
goto(132, item')	{[item' -> % factor item'., +/-/$]}	171	{[item' -> % factor item'., +/-/$]}
goto(132, *)	{[item' -> *.factor item', +/-/$]}	102	 
goto(132, /)	{[item' -> /.factor item', +/-/$]}	103	 
goto(132, %)	{[item' -> %.factor item', +/-/$]}	104	 
goto(132, $)	{[item' -> $., +/-/$]}	105	 
goto(135, item)	{[value' -> + item.value', )]}	172	{[value' -> + item.value', )]; [value' -> .+ item value', )]; [value' -> .- item value', )]; [value' -> .$, )]}
goto(135, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(135, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(135, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(135, const)	{[factor -> const., *///%/$]}	56	 
goto(135, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(135, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(135, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(135, STR)	{[const -> STR., *///%/$]}	60	 
goto(135, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(135, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(135, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(136, item)	{[value' -> - item.value', )]}	173	{[value' -> - item.value', )]; [value' -> .+ item value', )]; [value' -> .- item value', )]; [value' -> .$, )]}
goto(136, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(136, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(136, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(136, const)	{[factor -> const., *///%/$]}	56	 
goto(136, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(136, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(136, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(136, STR)	{[const -> STR., *///%/$]}	60	 
goto(136, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(136, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(136, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(138, ))	{[call_function -> ( es )., *///%/$]}	174	{[call_function -> ( es )., *///%/$]}
goto(139, isnull_es)	{[es -> isnull_expr isnull_es., )]}	175	{[es -> isnull_expr isnull_es., )]}
goto(139, ,)	{[isnull_es -> ,.isnull_expr isnull_es, )]}	176	{[isnull_es -> ,.isnull_expr isnull_es, )]; [isnull_expr -> .expression, ,/$]; [isnull_expr -> .$, ,/$]; [expression -> .value operation, ,/$]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(139, $)	{[isnull_es -> $., )]}	177	{[isnull_es -> $., )]}
goto(142, operation)	{[expression -> value operation., ,/$]}	178	{[expression -> value operation., ,/$]}
goto(142, compare_op)	{[operation -> compare_op.value, ,/$]}	179	{[operation -> compare_op.value, ,/$]; [value -> .item value', ,/$]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(142, equal_op)	{[operation -> equal_op.value, ,/$]}	180	{[operation -> equal_op.value, ,/$]; [value -> .item value', ,/$]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(142, $)	{[operation -> $., ,/$]}	181	{[operation -> $., ,/$]}
goto(142, >)	{[compare_op -> >., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	85	 
goto(142, >=)	{[compare_op -> >=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	86	 
goto(142, <)	{[compare_op -> <., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	87	 
goto(142, <=)	{[compare_op -> <=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	88	 
goto(142, ==)	{[compare_op -> ==., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	89	 
goto(142, !=)	{[compare_op -> !=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	90	 
goto(142, =)	{[equal_op -> =., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	91	 
goto(142, +=)	{[equal_op -> +=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	92	 
goto(142, -=)	{[equal_op -> -=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	93	 
goto(142, *=)	{[equal_op -> *=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	94	 
goto(142, /=)	{[equal_op -> /=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	95	 
goto(142, %=)	{[equal_op -> %=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	96	 
goto(143, ;)	{[define_stmt -> type id init vars ;., $/int/short/long/char/float/double/void/unsigned]}	182	{[define_stmt -> type id init vars ;., $/int/short/long/char/float/double/void/unsigned]}
goto(144, id)	{[vars -> , id.init vars, ;]}	183	{[vars -> , id.init vars, ;]; [init -> .= expression, ,/$]; [init -> .$, ,/$]}
goto(147, block_stmt)	{[iteration_stmt -> while ( logical_expression ) block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	184	{[iteration_stmt -> while ( logical_expression ) block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
